name of the body ; position x ; position y ; position z
sun;0.000527114;-0.0034945;-0.0034945
jupiter;4.57411;1.87552;1.87552
saturn;7.03489;5.94214;5.94214
uranus;14.0144;-14.1386;-14.1386
neptune;16.4142;-25.2615;-25.2615
sun;0.00054072;-0.00352527;-0.00352527
jupiter;4.56315;1.90233;1.90233
saturn;7.02064;5.95767;5.95767
uranus;14.0245;-14.1291;-14.1291
neptune;16.4237;-25.2552;-25.2552
sun;0.000554479;-0.00355598;-0.00355598
jupiter;4.55205;1.92907;1.92907
saturn;7.00635;5.97317;5.97317
uranus;14.0346;-14.1196;-14.1196
neptune;16.4333;-25.2488;-25.2488
sun;0.000568389;-0.00358662;-0.00358662
jupiter;4.54079;1.95575;1.95575
saturn;6.99202;5.98864;5.98864
uranus;14.0447;-14.1101;-14.1101
neptune;16.4428;-25.2425;-25.2425
sun;0.000582452;-0.00361719;-0.00361719
jupiter;4.52939;1.98237;1.98237
saturn;6.97766;6.00408;6.00408
uranus;14.0547;-14.1006;-14.1006
neptune;16.4524;-25.2361;-25.2361
sun;0.000596666;-0.00364769;-0.00364769
jupiter;4.51784;2.00892;2.00892
saturn;6.96327;6.01949;6.01949
uranus;14.0648;-14.0911;-14.0911
neptune;16.4619;-25.2297;-25.2297
sun;0.000611032;-0.00367811;-0.00367811
jupiter;4.50614;2.0354;2.0354
saturn;6.94884;6.03487;6.03487
uranus;14.0749;-14.0816;-14.0816
neptune;16.4714;-25.2234;-25.2234
sun;0.000625548;-0.00370847;-0.00370847
jupiter;4.49429;2.06182;2.06182
saturn;6.93437;6.05022;6.05022
uranus;14.0849;-14.0721;-14.0721
neptune;16.481;-25.217;-25.217
sun;0.000640214;-0.00373875;-0.00373875
jupiter;4.4823;2.08817;2.08817
saturn;6.91987;6.06553;6.06553
uranus;14.095;-14.0625;-14.0625
neptune;16.4905;-25.2106;-25.2106
sun;0.000655031;-0.00376896;-0.00376896
jupiter;4.47016;2.11446;2.11446
saturn;6.90534;6.08082;6.08082
uranus;14.105;-14.053;-14.053
neptune;16.5;-25.2043;-25.2043
sun;0.000669997;-0.0037991;-0.0037991
jupiter;4.45787;2.14067;2.14067
saturn;6.89077;6.09608;6.09608
uranus;14.115;-14.0435;-14.0435
neptune;16.5095;-25.1979;-25.1979
sun;0.000685112;-0.00382916;-0.00382916
jupiter;4.44544;2.16681;2.16681
saturn;6.87616;6.1113;6.1113
uranus;14.1251;-14.0339;-14.0339
neptune;16.519;-25.1915;-25.1915
sun;0.000700376;-0.00385915;-0.00385915
jupiter;4.43287;2.19289;2.19289
saturn;6.86152;6.12649;6.12649
uranus;14.1351;-14.0244;-14.0244
neptune;16.5286;-25.1851;-25.1851
sun;0.000715788;-0.00388905;-0.00388905
jupiter;4.42015;2.21889;2.21889
saturn;6.84685;6.14166;6.14166
uranus;14.1451;-14.0148;-14.0148
neptune;16.5381;-25.1787;-25.1787
sun;0.000731348;-0.00391889;-0.00391889
jupiter;4.40729;2.24482;2.24482
saturn;6.83214;6.15679;6.15679
uranus;14.1551;-14.0052;-14.0052
neptune;16.5476;-25.1723;-25.1723
sun;0.000747055;-0.00394864;-0.00394864
jupiter;4.39428;2.27068;2.27068
saturn;6.81739;6.17189;6.17189
uranus;14.1651;-13.9956;-13.9956
neptune;16.5571;-25.1659;-25.1659
sun;0.000762909;-0.00397831;-0.00397831
jupiter;4.38113;2.29646;2.29646
saturn;6.80261;6.18696;6.18696
uranus;14.1751;-13.986;-13.986
neptune;16.5666;-25.1595;-25.1595
sun;0.00077891;-0.0040079;-0.0040079
jupiter;4.36784;2.32217;2.32217
saturn;6.7878;6.20199;6.20199
uranus;14.1851;-13.9764;-13.9764
neptune;16.5761;-25.1531;-25.1531
sun;0.000795057;-0.00403742;-0.00403742
jupiter;4.3544;2.3478;2.3478
saturn;6.77295;6.217;6.217
uranus;14.1951;-13.9668;-13.9668
neptune;16.5856;-25.1467;-25.1467
sun;0.000811349;-0.00406685;-0.00406685
jupiter;4.34083;2.37335;2.37335
saturn;6.75807;6.23197;6.23197
uranus;14.205;-13.9572;-13.9572
neptune;16.5951;-25.1403;-25.1403
sun;0.000827787;-0.0040962;-0.0040962
jupiter;4.32711;2.39883;2.39883
saturn;6.74315;6.24692;6.24692
uranus;14.215;-13.9476;-13.9476
neptune;16.6046;-25.1339;-25.1339
sun;0.000844369;-0.00412546;-0.00412546
jupiter;4.31325;2.42423;2.42423
saturn;6.7282;6.26183;6.26183
uranus;14.225;-13.938;-13.938
neptune;16.6141;-25.1275;-25.1275
sun;0.000861095;-0.00415464;-0.00415464
jupiter;4.29925;2.44955;2.44955
saturn;6.71322;6.27671;6.27671
uranus;14.2349;-13.9284;-13.9284
neptune;16.6236;-25.1211;-25.1211
sun;0.000877965;-0.00418374;-0.00418374
jupiter;4.28512;2.47479;2.47479
saturn;6.6982;6.29155;6.29155
uranus;14.2448;-13.9187;-13.9187
neptune;16.6331;-25.1146;-25.1146
sun;0.000894979;-0.00421275;-0.00421275
jupiter;4.27084;2.49995;2.49995
saturn;6.68314;6.30637;6.30637
uranus;14.2548;-13.9091;-13.9091
neptune;16.6426;-25.1082;-25.1082
sun;0.000912135;-0.00424167;-0.00424167
jupiter;4.25642;2.52503;2.52503
saturn;6.66806;6.32115;6.32115
uranus;14.2647;-13.8994;-13.8994
neptune;16.6521;-25.1018;-25.1018
sun;0.000929433;-0.00427051;-0.00427051
jupiter;4.24187;2.55003;2.55003
saturn;6.65294;6.3359;6.3359
uranus;14.2746;-13.8898;-13.8898
neptune;16.6615;-25.0953;-25.0953
sun;0.000946873;-0.00429926;-0.00429926
jupiter;4.22717;2.57494;2.57494
saturn;6.63778;6.35062;6.35062
uranus;14.2845;-13.8801;-13.8801
neptune;16.671;-25.0889;-25.0889
sun;0.000964454;-0.00432792;-0.00432792
jupiter;4.21234;2.59977;2.59977
saturn;6.62259;6.3653;6.3653
uranus;14.2944;-13.8705;-13.8705
neptune;16.6805;-25.0824;-25.0824
sun;0.000982176;-0.00435649;-0.00435649
jupiter;4.19738;2.62452;2.62452
saturn;6.60737;6.37996;6.37996
uranus;14.3043;-13.8608;-13.8608
neptune;16.69;-25.076;-25.076
sun;0.00100004;-0.00438497;-0.00438497
jupiter;4.18227;2.64918;2.64918
saturn;6.59211;6.39458;6.39458
uranus;14.3142;-13.8511;-13.8511
neptune;16.6994;-25.0695;-25.0695
sun;0.00101804;-0.00441336;-0.00441336
jupiter;4.16703;2.67375;2.67375
saturn;6.57682;6.40916;6.40916
uranus;14.3241;-13.8414;-13.8414
neptune;16.7089;-25.0631;-25.0631
sun;0.00103618;-0.00444166;-0.00444166
jupiter;4.15166;2.69824;2.69824
saturn;6.5615;6.42372;6.42372
uranus;14.334;-13.8317;-13.8317
neptune;16.7184;-25.0566;-25.0566
sun;0.00105446;-0.00446986;-0.00446986
jupiter;4.13615;2.72264;2.72264
saturn;6.54614;6.43824;6.43824
uranus;14.3439;-13.822;-13.822
neptune;16.7279;-25.0502;-25.0502
sun;0.00107288;-0.00449797;-0.00449797
jupiter;4.12051;2.74695;2.74695
saturn;6.53075;6.45273;6.45273
uranus;14.3537;-13.8123;-13.8123
neptune;16.7373;-25.0437;-25.0437
sun;0.00109143;-0.00452599;-0.00452599
jupiter;4.10473;2.77117;2.77117
saturn;6.51533;6.46719;6.46719
uranus;14.3636;-13.8026;-13.8026
neptune;16.7468;-25.0372;-25.0372
sun;0.00111013;-0.00455391;-0.00455391
jupiter;4.08882;2.7953;2.7953
saturn;6.49987;6.48161;6.48161
uranus;14.3734;-13.7928;-13.7928
neptune;16.7562;-25.0307;-25.0307
sun;0.00112895;-0.00458174;-0.00458174
jupiter;4.07278;2.81934;2.81934
saturn;6.48438;6.496;6.496
uranus;14.3833;-13.7831;-13.7831
neptune;16.7657;-25.0243;-25.0243
sun;0.00114792;-0.00460947;-0.00460947
jupiter;4.0566;2.84329;2.84329
saturn;6.46886;6.51035;6.51035
uranus;14.3931;-13.7734;-13.7734
neptune;16.7751;-25.0178;-25.0178
sun;0.00116702;-0.0046371;-0.0046371
jupiter;4.0403;2.86715;2.86715
saturn;6.4533;6.52468;6.52468
uranus;14.4029;-13.7636;-13.7636
neptune;16.7846;-25.0113;-25.0113
sun;0.00118625;-0.00466463;-0.00466463
jupiter;4.02386;2.89091;2.89091
saturn;6.43772;6.53897;6.53897
uranus;14.4128;-13.7539;-13.7539
neptune;16.7941;-25.0048;-25.0048
sun;0.00120562;-0.00469207;-0.00469207
jupiter;4.00729;2.91458;2.91458
saturn;6.42209;6.55322;6.55322
uranus;14.4226;-13.7441;-13.7441
neptune;16.8035;-24.9983;-24.9983
sun;0.00122513;-0.00471941;-0.00471941
jupiter;3.99059;2.93816;2.93816
saturn;6.40644;6.56745;6.56745
uranus;14.4324;-13.7343;-13.7343
neptune;16.8129;-24.9918;-24.9918
sun;0.00124476;-0.00474665;-0.00474665
jupiter;3.97377;2.96164;2.96164
saturn;6.39075;6.58164;6.58164
uranus;14.4422;-13.7246;-13.7246
neptune;16.8224;-24.9853;-24.9853
sun;0.00126453;-0.00477378;-0.00477378
jupiter;3.95681;2.98502;2.98502
saturn;6.37503;6.59579;6.59579
uranus;14.452;-13.7148;-13.7148
neptune;16.8318;-24.9788;-24.9788
sun;0.00128443;-0.00480082;-0.00480082
jupiter;3.93973;3.00831;3.00831
saturn;6.35928;6.60991;6.60991
uranus;14.4618;-13.705;-13.705
neptune;16.8413;-24.9723;-24.9723
sun;0.00130446;-0.00482775;-0.00482775
jupiter;3.92252;3.0315;3.0315
saturn;6.34349;6.624;6.624
uranus;14.4715;-13.6952;-13.6952
neptune;16.8507;-24.9658;-24.9658
sun;0.00132463;-0.00485458;-0.00485458
jupiter;3.90518;3.05459;3.05459
saturn;6.32768;6.63806;6.63806
uranus;14.4813;-13.6854;-13.6854
neptune;16.8601;-24.9593;-24.9593
sun;0.00134492;-0.0048813;-0.0048813
jupiter;3.88772;3.07759;3.07759
saturn;6.31183;6.65207;6.65207
uranus;14.4911;-13.6756;-13.6756
neptune;16.8696;-24.9528;-24.9528
sun;0.00136534;-0.00490792;-0.00490792
jupiter;3.87013;3.10048;3.10048
saturn;6.29594;6.66606;6.66606
uranus;14.5008;-13.6658;-13.6658
neptune;16.879;-24.9463;-24.9463
sun;0.00138589;-0.00493444;-0.00493444
jupiter;3.85242;3.12327;3.12327
saturn;6.28003;6.68001;6.68001
uranus;14.5106;-13.6559;-13.6559
neptune;16.8884;-24.9397;-24.9397
sun;0.00140657;-0.00496085;-0.00496085
jupiter;3.83458;3.14597;3.14597
saturn;6.26408;6.69393;6.69393
uranus;14.5203;-13.6461;-13.6461
neptune;16.8978;-24.9332;-24.9332
sun;0.00142738;-0.00498716;-0.00498716
jupiter;3.81662;3.16856;3.16856
saturn;6.2481;6.70781;6.70781
uranus;14.53;-13.6363;-13.6363
neptune;16.9073;-24.9267;-24.9267
sun;0.00144832;-0.00501335;-0.00501335
jupiter;3.79853;3.19105;3.19105
saturn;6.23209;6.72166;6.72166
uranus;14.5398;-13.6264;-13.6264
neptune;16.9167;-24.9201;-24.9201
sun;0.00146938;-0.00503944;-0.00503944
jupiter;3.78033;3.21343;3.21343
saturn;6.21605;6.73547;6.73547
uranus;14.5495;-13.6166;-13.6166
neptune;16.9261;-24.9136;-24.9136
sun;0.00149057;-0.00506542;-0.00506542
jupiter;3.762;3.23571;3.23571
saturn;6.19998;6.74925;6.74925
uranus;14.5592;-13.6067;-13.6067
neptune;16.9355;-24.9071;-24.9071
sun;0.00151188;-0.00509129;-0.00509129
jupiter;3.74355;3.25789;3.25789
saturn;6.18387;6.763;6.763
uranus;14.5689;-13.5969;-13.5969
neptune;16.9449;-24.9005;-24.9005
sun;0.00153332;-0.00511706;-0.00511706
jupiter;3.72497;3.27996;3.27996
saturn;6.16773;6.77671;6.77671
uranus;14.5786;-13.587;-13.587
neptune;16.9543;-24.894;-24.894
sun;0.00155488;-0.00514271;-0.00514271
jupiter;3.70628;3.30193;3.30193
saturn;6.15156;6.79038;6.79038
uranus;14.5883;-13.5771;-13.5771
neptune;16.9637;-24.8874;-24.8874
sun;0.00157656;-0.00516825;-0.00516825
jupiter;3.68747;3.32379;3.32379
saturn;6.13536;6.80402;6.80402
uranus;14.598;-13.5672;-13.5672
neptune;16.9731;-24.8808;-24.8808
sun;0.00159837;-0.00519368;-0.00519368
jupiter;3.66854;3.34554;3.34554
saturn;6.11913;6.81763;6.81763
uranus;14.6076;-13.5573;-13.5573
neptune;16.9825;-24.8743;-24.8743
sun;0.0016203;-0.00521899;-0.00521899
jupiter;3.6495;3.36718;3.36718
saturn;6.10286;6.8312;6.8312
uranus;14.6173;-13.5474;-13.5474
neptune;16.9919;-24.8677;-24.8677
sun;0.00164235;-0.00524419;-0.00524419
jupiter;3.63033;3.38872;3.38872
saturn;6.08657;6.84473;6.84473
uranus;14.627;-13.5375;-13.5375
neptune;17.0013;-24.8612;-24.8612
sun;0.00166452;-0.00526928;-0.00526928
jupiter;3.61105;3.41015;3.41015
saturn;6.07024;6.85823;6.85823
uranus;14.6366;-13.5276;-13.5276
neptune;17.0107;-24.8546;-24.8546
sun;0.00168681;-0.00529426;-0.00529426
jupiter;3.59165;3.43146;3.43146
saturn;6.05388;6.87169;6.87169
uranus;14.6463;-13.5177;-13.5177
neptune;17.0201;-24.848;-24.848
sun;0.00170923;-0.00531912;-0.00531912
jupiter;3.57214;3.45267;3.45267
saturn;6.03749;6.88512;6.88512
uranus;14.6559;-13.5078;-13.5078
neptune;17.0295;-24.8414;-24.8414
sun;0.00173176;-0.00534386;-0.00534386
jupiter;3.55251;3.47376;3.47376
saturn;6.02107;6.89851;6.89851
uranus;14.6655;-13.4979;-13.4979
neptune;17.0389;-24.8348;-24.8348
sun;0.0017544;-0.00536849;-0.00536849
jupiter;3.53277;3.49475;3.49475
saturn;6.00462;6.91187;6.91187
uranus;14.6752;-13.4879;-13.4879
neptune;17.0483;-24.8283;-24.8283
sun;0.00177717;-0.005393;-0.005393
jupiter;3.51292;3.51562;3.51562
saturn;5.98814;6.92519;6.92519
uranus;14.6848;-13.478;-13.478
neptune;17.0576;-24.8217;-24.8217
sun;0.00180005;-0.00541739;-0.00541739
jupiter;3.49295;3.53638;3.53638
saturn;5.97163;6.93848;6.93848
uranus;14.6944;-13.468;-13.468
neptune;17.067;-24.8151;-24.8151
sun;0.00182305;-0.00544166;-0.00544166
jupiter;3.47287;3.55702;3.55702
saturn;5.95508;6.95173;6.95173
uranus;14.704;-13.4581;-13.4581
neptune;17.0764;-24.8085;-24.8085
sun;0.00184617;-0.00546582;-0.00546582
jupiter;3.45268;3.57755;3.57755
saturn;5.93851;6.96495;6.96495
uranus;14.7136;-13.4481;-13.4481
neptune;17.0858;-24.8019;-24.8019
sun;0.0018694;-0.00548985;-0.00548985
jupiter;3.43238;3.59797;3.59797
saturn;5.9219;6.97812;6.97812
uranus;14.7232;-13.4381;-13.4381
neptune;17.0951;-24.7953;-24.7953
sun;0.00189274;-0.00551377;-0.00551377
jupiter;3.41197;3.61827;3.61827
saturn;5.90527;6.99127;6.99127
uranus;14.7328;-13.4282;-13.4282
neptune;17.1045;-24.7887;-24.7887
sun;0.0019162;-0.00553757;-0.00553757
jupiter;3.39145;3.63846;3.63846
saturn;5.8886;7.00437;7.00437
uranus;14.7423;-13.4182;-13.4182
neptune;17.1139;-24.7821;-24.7821
sun;0.00193976;-0.00556124;-0.00556124
jupiter;3.37082;3.65852;3.65852
saturn;5.8719;7.01744;7.01744
uranus;14.7519;-13.4082;-13.4082
neptune;17.1232;-24.7754;-24.7754
sun;0.00196345;-0.00558479;-0.00558479
jupiter;3.35008;3.67847;3.67847
saturn;5.85518;7.03048;7.03048
uranus;14.7614;-13.3982;-13.3982
neptune;17.1326;-24.7688;-24.7688
sun;0.00198724;-0.00560822;-0.00560822
jupiter;3.32924;3.69831;3.69831
saturn;5.83842;7.04347;7.04347
uranus;14.771;-13.3882;-13.3882
neptune;17.142;-24.7622;-24.7622
sun;0.00201114;-0.00563153;-0.00563153
jupiter;3.30829;3.71802;3.71802
saturn;5.82163;7.05644;7.05644
uranus;14.7805;-13.3782;-13.3782
neptune;17.1513;-24.7556;-24.7556
sun;0.00203515;-0.00565471;-0.00565471
jupiter;3.28723;3.73762;3.73762
saturn;5.80482;7.06936;7.06936
uranus;14.7901;-13.3681;-13.3681
neptune;17.1607;-24.749;-24.749
sun;0.00205928;-0.00567777;-0.00567777
jupiter;3.26607;3.75709;3.75709
saturn;5.78797;7.08225;7.08225
uranus;14.7996;-13.3581;-13.3581
neptune;17.17;-24.7423;-24.7423
sun;0.00208351;-0.00570071;-0.00570071
jupiter;3.24481;3.77645;3.77645
saturn;5.77109;7.0951;7.0951
uranus;14.8091;-13.3481;-13.3481
neptune;17.1794;-24.7357;-24.7357
sun;0.00210785;-0.00572352;-0.00572352
jupiter;3.22344;3.79569;3.79569
saturn;5.75419;7.10792;7.10792
uranus;14.8186;-13.3381;-13.3381
neptune;17.1887;-24.729;-24.729
sun;0.00213229;-0.0057462;-0.0057462
jupiter;3.20197;3.8148;3.8148
saturn;5.73725;7.12069;7.12069
uranus;14.8281;-13.328;-13.328
neptune;17.198;-24.7224;-24.7224
sun;0.00215684;-0.00576876;-0.00576876
jupiter;3.1804;3.83379;3.83379
saturn;5.72028;7.13344;7.13344
uranus;14.8376;-13.318;-13.318
neptune;17.2074;-24.7158;-24.7158
sun;0.0021815;-0.00579119;-0.00579119
jupiter;3.15873;3.85266;3.85266
saturn;5.70329;7.14614;7.14614
uranus;14.8471;-13.3079;-13.3079
neptune;17.2167;-24.7091;-24.7091
sun;0.00220626;-0.0058135;-0.0058135
jupiter;3.13695;3.87141;3.87141
saturn;5.68626;7.15881;7.15881
uranus;14.8566;-13.2978;-13.2978
neptune;17.2261;-24.7024;-24.7024
sun;0.00223113;-0.00583567;-0.00583567
jupiter;3.11508;3.89003;3.89003
saturn;5.66921;7.17144;7.17144
uranus;14.8661;-13.2878;-13.2878
neptune;17.2354;-24.6958;-24.6958
sun;0.0022561;-0.00585772;-0.00585772
jupiter;3.0931;3.90853;3.90853
saturn;5.65212;7.18403;7.18403
uranus;14.8756;-13.2777;-13.2777
neptune;17.2447;-24.6891;-24.6891
sun;0.00228117;-0.00587964;-0.00587964
jupiter;3.07103;3.92691;3.92691
saturn;5.63501;7.19659;7.19659
uranus;14.885;-13.2676;-13.2676
neptune;17.2541;-24.6825;-24.6825
sun;0.00230634;-0.00590143;-0.00590143
jupiter;3.04886;3.94516;3.94516
saturn;5.61787;7.20911;7.20911
uranus;14.8945;-13.2575;-13.2575
neptune;17.2634;-24.6758;-24.6758
sun;0.00233162;-0.00592308;-0.00592308
jupiter;3.0266;3.96329;3.96329
saturn;5.6007;7.22159;7.22159
uranus;14.9039;-13.2474;-13.2474
neptune;17.2727;-24.6691;-24.6691
sun;0.002357;-0.00594461;-0.00594461
jupiter;3.00424;3.98129;3.98129
saturn;5.5835;7.23403;7.23403
uranus;14.9134;-13.2373;-13.2373
neptune;17.282;-24.6624;-24.6624
sun;0.00238247;-0.00596601;-0.00596601
jupiter;2.98178;3.99916;3.99916
saturn;5.56627;7.24644;7.24644
uranus;14.9228;-13.2272;-13.2272
neptune;17.2913;-24.6558;-24.6558
sun;0.00240805;-0.00598727;-0.00598727
jupiter;2.95923;4.0169;4.0169
saturn;5.54901;7.25881;7.25881
uranus;14.9322;-13.2171;-13.2171
neptune;17.3007;-24.6491;-24.6491
sun;0.00243372;-0.00600841;-0.00600841
jupiter;2.93658;4.03452;4.03452
saturn;5.53172;7.27114;7.27114
uranus;14.9416;-13.207;-13.207
neptune;17.31;-24.6424;-24.6424
sun;0.00245949;-0.00602941;-0.00602941
jupiter;2.91385;4.05201;4.05201
saturn;5.51441;7.28343;7.28343
uranus;14.9511;-13.1968;-13.1968
neptune;17.3193;-24.6357;-24.6357
sun;0.00248535;-0.00605028;-0.00605028
jupiter;2.89101;4.06937;4.06937
saturn;5.49706;7.29569;7.29569
uranus;14.9605;-13.1867;-13.1867
neptune;17.3286;-24.629;-24.629
sun;0.00251132;-0.00607101;-0.00607101
jupiter;2.86809;4.08661;4.08661
saturn;5.47969;7.3079;7.3079
uranus;14.9699;-13.1765;-13.1765
neptune;17.3379;-24.6223;-24.6223
sun;0.00253737;-0.00609161;-0.00609161
jupiter;2.84508;4.10371;4.10371
saturn;5.46229;7.32008;7.32008
uranus;14.9792;-13.1664;-13.1664
neptune;17.3472;-24.6156;-24.6156
sun;0.00256353;-0.00611208;-0.00611208
jupiter;2.82198;4.12068;4.12068
saturn;5.44486;7.33223;7.33223
uranus;14.9886;-13.1562;-13.1562
neptune;17.3565;-24.6089;-24.6089
sun;0.00258977;-0.00613241;-0.00613241
jupiter;2.79879;4.13753;4.13753
saturn;5.4274;7.34433;7.34433
uranus;14.998;-13.1461;-13.1461
neptune;17.3658;-24.6022;-24.6022
sun;0.00261611;-0.0061526;-0.0061526
jupiter;2.77551;4.15424;4.15424
saturn;5.40992;7.3564;7.3564
uranus;15.0074;-13.1359;-13.1359
neptune;17.3751;-24.5955;-24.5955
sun;0.00264254;-0.00617266;-0.00617266
jupiter;2.75214;4.17082;4.17082
saturn;5.3924;7.36842;7.36842
uranus;15.0167;-13.1257;-13.1257
neptune;17.3844;-24.5888;-24.5888
sun;0.00266906;-0.00619259;-0.00619259
jupiter;2.72869;4.18727;4.18727
saturn;5.37486;7.38041;7.38041
uranus;15.0261;-13.1155;-13.1155
neptune;17.3937;-24.5821;-24.5821
sun;0.00269567;-0.00621237;-0.00621237
jupiter;2.70515;4.20358;4.20358
saturn;5.35729;7.39236;7.39236
uranus;15.0354;-13.1054;-13.1054
neptune;17.403;-24.5753;-24.5753
sun;0.00272238;-0.00623202;-0.00623202
jupiter;2.68152;4.21977;4.21977
saturn;5.33969;7.40428;7.40428
uranus;15.0447;-13.0952;-13.0952
neptune;17.4123;-24.5686;-24.5686
sun;0.00274917;-0.00625154;-0.00625154
jupiter;2.65781;4.23582;4.23582
saturn;5.32207;7.41615;7.41615
uranus;15.0541;-13.085;-13.085
neptune;17.4215;-24.5619;-24.5619
sun;0.00277604;-0.00627091;-0.00627091
jupiter;2.63402;4.25174;4.25174
saturn;5.30442;7.42798;7.42798
uranus;15.0634;-13.0747;-13.0747
neptune;17.4308;-24.5552;-24.5552
